Poem Name,type,Author,Year,Lime,Is metaphor available?,Count,Source,Target,Meaning
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,මේ ලක විප්ලව සාගරයෙන් ගොඩවන්නට නම් කර යාත්‍රා,ඔව්,1,සාගරයෙන්,විප්ලව,විප්ලව යනු නිමක් නැති දෙයක් වේ
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ජාතික ආලය රන් නැවකී නිදහස ම තමා ජය භූ මී,ඔව්,1,රන් නැවකී,ජාතික ආලය,ජාතික ආලය යනු නිදහස යන ජයග්‍රහණය දෙසට යාමට පහසු කරන ඉතා වටිනා දෙයකි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නෑ සැක සිංහලයෝ එහි නාවිකයෝ ය කියමි අදහමි ම ම්,ඔව්,1,නාවිකයෝ,සිංහලයෝ,සිංහලයන් එම කාර්‍යයෙහි නියමුවන් ලෙස ක්‍රියා කරනු ඇත.
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,හේද සුළං සැඩ ජාතික ආලෙහි රුක්මුල මුත් සොලවන් නා,ඔව්,1,සුළං සැඩ,හේද,එකිනෙකා අතර ඇති අසමගිකම් ජාතික ආලයට බාධා පමුණුවන්නකි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ලක්ස ගණන් ජනයා කිමිදෙද්දී වහල් අඳුරේ මේ ලෝ කේ,ඔව්,1,අඳුරේ,වහල්,ලෝකයේ බොහෝ ජනයා වහලුන් මෙන් වාසය කරති
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නිදහස් හිරු දෙවි එනවා,ඔව්,1,හිරු දෙවි,නිදහස්,නිදහස සූර්‍යයා වැනිය
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,පිඹිව් ජාති ආලය නම් ගිනි පුපුරු,ඔව්,1,ගිනි පුපුරු,ජාති ආලය,ජාති ආලය උද්වේගකර ලෙස පැතිරිය යුතුය
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,සිහල දැය ගඟක් නම් උල්පතක් ඊට ඕනෑ,ඔව්,1,ගඟක්,සිහල දැය,සිංහල දැය පෝෂණය කල යුතුය
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ළමයිනි නුඹලා උල්පත් තමය් සාරවත් වූ,ඔව්,1,උල්පත්,ළමයිනි,දැයක ළමයින් එය දැය පෝෂණය කරන්නවුන් වේ
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නිදහස් මුහුදක් යම් සෑදුනොත් යම් කලෙක්හි,ඔව්,1,මුහුදක්,නිදහස්,නිමක් නැති නිදහස කවදා හෝ අත් විදීමට ලැබුනොත්
